Country,Total_Cases,Total_death,New_Death,Total_Recovery,Active_Cases,Critical,CasesPerMillion,DeathPerMillion,Total_tests,Population,Lattitude,Longitude
Honduras,10739,343,7,1179,9217,13,1085,35,21540,9899028,15.199999,-86.241905
Cameroon,10638,282,6,7548,2808,28,401,11,,26519263,7.369722,12.354722
Czech Republic,10406,335,1,7473,2598,9,972,31,513979,10708422,49.817492,15.472962
Morocco,9613,213,,8117,1283,7,261,6,505636,36895998,31.791702,-7.09262
Norway,8726,244,,8138,344,5,1610,45,302659,5419919,60.472024,8.468946
Malaysia,8535,121,,8070,344,3,264,4,674551,32351989,4.210484,101.975766
Sudan,8316,506,19,3086,4724,,190,12,401,43808910,12.862807,30.217636
Nepal,8274,22,,1402,6850,,284,0.8,409623,29117669,28.394857,84.124008
Australia,7409,102,,6878,429,2,291,4,1964271,25490075,-25.274398,133.775136
Finland,7133,326,,6200,607,2,1287,59,224400,5540479,61.92411,25.748151
Ivory Coast,6874,49,,2942,3883,,261,2,43075,26352025,5.345317,-4.024429
Uzbekistan,5946,19,,4273,1654,12,178,0.6,748555,33452387,41.377491,64.585262
Senegal,5639,79,3,3788,1772,17,337,5,66238,16725811,14.497401,-14.452362
Congo [DRC],5477,122,5,719,4636,,61,1,,89443480,-4.038333,21.758664
Tajikistan,5338,51,,3830,1457,,560,5,,9529306,38.861034,71.276093
Haiti,4916,84,2,24,4808,,431,7,9651,11397877,18.971187,-72.285215
Guinea,4904,27,1,3522,1355,24,374,2,14407,13118017,9.945587,-9.696645
Czech Republic,4820,222,6,1863,2735,34,2314,107,47793,2083376,49.817492,15.472962
Djibouti,4565,45,2,3565,955,,4623,46,43871,987502,11.825138,42.590275
Gabon,4428,34,2,1750,2644,9,1991,15,27030,2223657,-0.803689,11.609444
Kenya,4374,119,2,1550,2705,7,81,2,130498,53725466,-0.023559,37.906193
El Salvador,4329,86,4,2310,1933,136,668,13,135570,6485231,13.794185,-88.89653
Luxembourg,4099,110,,3944,45,2,6552,176,138497,625615,49.815273,6.129583
Hungary,4081,568,,2581,932,15,422,59,249391,9660988,47.162494,19.503304
